Pc,HPFTP_w,HPOTP_w,LPFTP_w,LPOTP_w,PBOBP_w,Pc_FPB,Pc_OPB,MFV_m,MOV_m,OPOV_m,FPOV_m,T_Nozzle_Cooling_exit,HGM_Temp,Man_OX_Temp,Man_H2_Temp,Man_MCC_COOL_Pres,HPFTP_p_pump_out,HPOTP_p_pump_out,LPFTP_p_pump_out,LPOTP_p_pump_out,PBOBP_p_pump_out,HPFTP_T_turb_inlet,HPOTP_T_turb_inlet,LPFTP_T_turb_inlet,LPOTP_T_turb_inlet
193.57,43911,27099,29062,4097.1,27099,372.44,345.54,73.918,379.12,12.055,32.001,235.56,670.67,108.1,61.505,218.29,409.919,291.135,34.3451,18.6768,542.446,927.332,618.412,411.795,105.096
194.79,44405,27366,29159,4146.8,27366,376.62,349.78,74.207,381.31,12.315,32.681,235.68,680.63,108.37,62.981,219.82,413.96,297.807,34.0756,19.0869,552.751,944.433,625.803,414.508,105.244
193.89,44272,27319,29139,4140.4,27319,374.59,347.92,74.176,378.83,12.202,32.444,235.3,676.18,109.3,62.585,218.71,412.335,296.02,34.1359,19.0326,549.471,939.793,619.669,412.782,106.073
195.29,44523,27351,29133,4150.1,27351,379.11,352,74.962,380.47,12.276,33.097,234.88,678.69,107.65,62.673,220.85,417.181,299.456,34.0989,19.2518,554.093,954.487,609.103,412.143,104.61
195.33,44157,27315,29229,4137.8,27315,377.59,350.92,74.714,381.63,12.347,32.674,236.05,676.38,107.71,61.644,221.16,414.86,297.308,34.7922,19.0476,551.872,943.292,626.381,402.011,104.684
194.46,44325,27226,29246,4122.9,27226,375.61,348.43,74.514,379.62,12.135,32.629,235.56,674.99,108.05,62.573,219.37,412.613,294.945,34.3906,18.9378,547.518,947.2,611.962,407.134,105.011
193.05,44174,27168,29286,4109.8,27168,371.62,345.76,73.629,378.03,11.992,32.245,237.26,676.03,109.17,62.91,217.81,408.548,291.717,34.3877,18.7359,542.696,954.306,608.098,407.007,106.018
193.02,44139,27246,29104,4123.9,27246,372.33,346.4,73.608,377.96,12.087,32.19,236.5,676.43,109.87,62.646,218.01,409.555,292.87,34.0228,18.8154,544.67,943.01,614.891,414.706,106.602
192.6,44107,27307,29176,4133.3,27307,371,345.77,73.358,377.36,12.102,32.076,236.31,677.39,110.99,62.809,217.45,408.45,292.807,34.1679,18.8134,544.728,945.794,618.104,411.985,107.568
194.24,44226,27270,29089,4130.7,27270,375.21,349.04,74.447,379.17,12.131,32.576,234.85,674.51,108.76,62.126,219.25,413.348,295.232,34.173,18.9654,548.058,947.497,605.319,412.584,105.614
193.49,44147,27131,29231,4105.3,27131,373.19,346.56,73.978,378.37,12.019,32.356,236.3,674.57,108.26,62.375,218.59,411.065,292.246,34.4879,18.779,543.257,949.661,609.013,406.172,105.225
195.36,44341,27333,29179,4138.8,27333,377.51,351.21,74.431,382.43,12.302,32.801,236.31,680.08,107.66,62.553,220.78,414.489,297.36,34.2917,19.019,552.166,952.049,618.191,410.995,104.639
194.56,44509,27451,29198,4163.7,27451,377.12,350.11,74.411,379.84,12.349,32.796,235.63,680.72,109.64,63.205,219.73,414.589,298.83,34.0691,19.1928,553.656,945.934,626.147,412.584,106.333
193.97,44474,27311,29167,4142.1,27311,375.89,348.61,74.219,378.72,12.204,32.676,235.22,678.99,108.69,63.309,219.13,412.683,297.149,33.9047,19.131,550.662,946.148,618.297,414.334,105.536
195.44,44766,27402,29262,4154.1,27402,378.69,351.53,74.243,382.81,12.334,33.178,237.23,687.31,107.42,64.201,220.45,416.747,299.937,33.9328,19.2005,555.717,964.733,620.013,415.97,104.397
195,44375,27346,29091,4140,27346,377.07,351.19,74.241,381.82,12.251,32.828,235.78,681.36,108.32,62.748,220.43,414.965,296.706,34.0114,18.9771,550.944,957.241,610.915,416.274,105.217
193.98,44070,27223,28996,4117.3,27223,373.39,347.4,73.84,380.37,12.128,32.203,235.16,675,108.58,62.099,218.61,410.608,293.249,33.9417,18.7782,546.134,935.846,614.805,419.146,105.488
194.97,44178,27315,29170,4133.3,27315,375.72,349.67,74.446,381.44,12.238,32.553,236.01,675.79,108.59,61.974,219.84,413.494,295.399,34.4806,18.8922,549.26,945.08,615.965,409.016,105.468
193.16,43964,27130,29058,4100.5,27130,370.82,345.25,73.27,379.7,12.025,31.929,236.47,675.22,108.41,62.319,217.64,407.673,291.115,34.0311,18.6505,543,938.036,614.847,417.498,105.364
194.97,44353,27342,29066,4140.3,27342,376.45,350.12,74.009,382.52,12.301,32.646,236.08,681.68,107.82,62.882,219.93,414,297.379,33.8929,19.0199,552.634,945.812,622.54,419.602,104.775
194.28,44186,27214,29093,4120,27214,374.61,348.02,73.988,380.71,12.166,32.4,236.13,676.83,107.56,62.38,219.13,412.248,295.022,34.1287,18.92,548.551,940.836,617.957,414.99,104.584
194.88,44320,27199,29285,4115.5,27199,375.84,348.65,74.209,381.81,12.183,32.635,236.49,678.51,106.91,62.761,219.81,413.244,295.002,34.508,18.8802,548.363,949.984,619.516,407.152,104.017
195.84,44427,27400,29309,4151.1,27400,378.05,352.33,74.533,383.48,12.364,32.975,236.93,682.39,107.5,62.821,221.14,415.276,299.256,34.5605,19.125,555.328,962.554,618.574,405.98,104.472
194.28,44319,27424,29233,4157,27424,375.66,350.35,74.092,379.98,12.298,32.678,236.18,681.36,109.68,62.808,219.87,413.396,297.727,34.3672,19.1045,552.264,957.957,618.849,408.257,106.383
193.38,44380,27288,29246,4134.2,27288,373.66,347.21,73.863,378.1,12.121,32.471,236.37,678.55,109.57,63.4,218.31,410.138,294.802,34.0655,18.9591,547.224,951.031,614.881,411.331,106.325
192.64,43934,27079,29095,4098.8,27079,371.36,345.04,73.923,376.22,11.941,32.008,235.14,669.2,108.88,61.721,217.75,408.042,290.858,34.2797,18.7526,540.925,936.276,605.665,409.125,105.783
192.95,44137,27211,29093,4117,27211,371.79,345.61,73.618,377.79,12.036,32.136,236.11,674.96,109.79,62.645,217.54,409.207,291.983,33.9758,18.7562,543.308,940.461,612.286,415.935,106.547
193.02,44076,27174,29055,4114,27174,371.62,345.66,73.82,377.55,12.003,32.093,235.18,672.07,109.13,62.293,217.46,408.463,292.559,33.9511,18.8284,544.191,937.57,606.76,416.211,105.968
193.19,44112,27109,28970,4103.3,27109,373.19,346.53,74.081,377.28,11.957,32.281,234.38,671.55,108.48,62.074,218.23,410.526,291.871,33.8246,18.7913,542.428,939.861,599.675,417.858,105.422
193.87,44230,27268,29171,4135.7,27268,375.05,348.32,74.559,377.7,12.153,32.514,234.21,673.01,108.84,62.164,219.08,412.27,296.168,34.3305,19.0963,549.009,942.024,612.056,407.402,105.68
194.62,44543,27508,29246,4176.3,27508,377.26,351.02,74.587,379.39,12.359,32.916,235.9,680.81,109.95,63.2,219.8,415.091,300.407,34.1932,19.3245,555.858,954.269,619.807,409.681,106.582
193.57,44049,27200,29088,4116.4,27200,373.06,347.12,74.095,378.37,12.06,32.244,235.19,672.37,109.1,61.885,218.49,410.438,292.756,34.2401,18.8054,544.461,941.175,607.513,411.589,105.942
